klasse;busch;hutFormAlt;hutFormJung;hutOberflaeche;hutUnterseite;hutUnterseiteFarbe;huVerfaerbung;huVerfaerbungFarbe;hutFarbe;stielForm;stielBasis;stielFarbe;stielOberflaeche;stielNetzFlockenFarbe;stielRing;stielBasisVolva;stielHohl;fleischFarbe;fleischVerfaerbung;fleischVerfaerbungFarbe;geruch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parasol;nein;gebuckelt;eifoermig;schuppig;Lamellen;cremefarben;nein;nein;gräulich;zylindrisch;Knolle;gräulich;schuppig;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pfifferling;nein;trichterförmig;gewölbt;normal;Lamellen;gelb;nein;nein;gelb;zylindrisch;zugespitzt;gelb;normal;nein;nein;nein;nein;gelb;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pfifferling;nein;trichterförmig;halbkugelig;normal;Lamellen;gelb;nein;nein;goldgelb;zylindrisch;zugespitzt;goldgelb;normal;nein;nein;nein;nein;gelb;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Safranschirmling;nein;gebuckelt;eifoermig;schuppig;Lamellen;weiss;nein;nein;graubraun;zylindrisch;Knolle;bräunlich;längsfaserig;nein;ja;nein;ja;weiss;ja;rot;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Safranschirmling;nein;gebuckelt;eifoermig;schuppig;Lamellen;cremefarben;nein;nein;bräunlich;zylindrisch;Knolle;graubraun;längsfaserig;nein;ja;nein;ja;weiss;ja;rötlich;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schopftintling;nein;kegelig;eifoermig;faserschuppig;Lamellen;weiss;ja;schwarz;weiss;zylindrisch;verdickt;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schopftintling;nein;kegelig;eifoermig;faserschuppig;Lamellen;weiss-schwarz;ja;schwarz;weissgrau;zylindrisch;verdickt;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sommersteinpilz;nein;gewölbt;halbkugelig;rissig;Poren;weiss;nein;nein;hellbraun;keulig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sommersteinpilz;nein;gewölbt;halbkugelig;rissig;Poren;gelblich;nein;nein;orangebraun;bauchig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steinpilz;nein;gewölbt;halbkugelig;glatt;Poren;gelb;nein;nein;hellbraun;keulig;verdickt;hellbraun;netz;weiss;nein;nein;nein;gelblich;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steinpilz;nein;gewölbt;halbkugelig;glatt;Poren;olivgrün;nein;nein;dunkelbraun;keulig;verdickt;weiss;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiesenchampignon;nein;ausgestreckt;gewölbt;normal;Lamellen;rosa;nein;nein;weiss;zylindrisch;normal;weiss;normal;nein;ja;nein;nein;weiss;ja;rötlich;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiesenchampignon;nein;ausgestreckt;gewölbt;normal;Lamellen;dunkelbraun;nein;nein;cremefarben;zylindrisch;normal;cremefarben;normal;nein;ja;nein;nein;weiss;ja;rötlich;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zuchtchampignon;nein;ausgestreckt;gewölbt;normal;Lamellen;dunkelbraun;nein;nein;weiss;zylindrisch;normal;weiss;normal;nein;ja;nein;nein;weiss;ja;rötlich;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zuchtchampignon;nein;ausgestreckt;gewölbt;normal;Lamellen;dunkelbraun;nein;nein;braun;zylindrisch;normal;weiss;normal;nein;ja;nein;nein;weiss;ja;rötlich;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichtensteinpilz;nein;gewölbt;halbkugelig;schmierig;Poren;weiss;nein;nein;hellbraun;bauchig;verdickt;cremefarben;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichtensteinpilz;nein;gewölbt;halbkugelig;glatt;Poren;weissgrau;nein;nein;kastanienbraun;bauchig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichtensteinpilz;nein;gewölbt;halbkugelig;normal;Poren;gelblich;nein;nein;hellbraun;bauchig;verdickt;weiss;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
